sku_id,forecast_demand,on_hand,reorder_point,safety_stock,category,unit_price,cost_price,stockout_risk,overstock_risk,risk_level,recommended_action,sales_at_risk,capital_locked
SKU00015,103.9551332698532,79.0,28.0,12.0,Home Care,277.24,205.47,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00016,276.56633602722803,106.0,56.0,22.0,Apparel & Footwear,3478.65,2163.92,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00017,70.10914887826979,77.0,55.0,19.0,Dairy & Bakery,280.39,218.27,0.0,0.09690526789353796,Healthy,HEALTHY,0.0,1504.07
SKU00018,62.786309941776736,148.0,188.0,55.0,Snacks & Confectionery,93.88,70.86,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,6038.24
SKU00019,207.0793541515497,120.0,86.0,40.0,Personal Care,394.36,229.13,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00020,436.68937075566123,0.0,760.0,284.0,Grocery,109.5,69.58,1.0,0.0,High stockout,REORDER NOW,43052.37,0.0
SKU00021,62.92615067603007,252.0,111.0,43.0,Beverages,116.7,73.74,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,13942.31
SKU00022,62.22413219403356,0.0,0.0,0.0,Beverages,201.01,147.24,1.0,0.0,High stockout,REORDER NOW,3126.92,0.0
SKU00023,75.1460038227378,20.0,39.0,13.0,Apparel & Footwear,2028.91,1381.64,0.3899928501967074,0.0,Healthy,HEALTHY,23913.75,0.0
SKU00024,65.56609980904763,6453.0,1467.0,490.0,Electronics & Accessories,2711.05,1671.96,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,10679533.98
SKU00025,62.944882727232915,213.0,169.0,57.0,Electronics & Accessories,2441.35,1483.61,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,222623.27
SKU00026,68.67023552867619,81.0,51.0,24.0,Home Care,287.47,190.99,0.0,0.1769731992114322,Healthy,HEALTHY,0.0,2354.86
SKU00027,145.4758617719202,204.0,113.0,39.0,Electronics & Accessories,608.24,435.8,0.0,0.399548004156539,Healthy,HEALTHY,0.0,25504.82
SKU00028,65.29551723209008,371.0,247.0,76.0,Beverages,94.45,63.96,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,19552.86
SKU00029,119.32189608313614,0.0,0.0,0.0,Home & Kitchen,1987.18,1222.63,1.0,0.0,High stockout,REORDER NOW,59278.52,0.0
SKU00030,146.7866589839645,82.0,105.0,44.0,Frozen Foods,402.34,283.65,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00031,64.98353489293214,508.0,270.0,76.0,Stationery & Office,151.46,121.13,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,53662.58
SKU00032,65.50704899514271,112.0,184.0,63.0,Beverages,51.91,30.84,0.0,0.6990680192148183,High overstock,MARKDOWN / CLEAR,0.0,1433.84
SKU00033,79.03308048028255,136.0,64.0,18.0,Home Care,164.5,112.21,0.0,0.7117921636635263,High overstock,MARKDOWN / CLEAR,0.0,6392.26
SKU00034,71.2111391878768,136.0,113.0,49.0,Electronics & Accessories,2105.17,1355.55,0.0,0.897214218481687,High overstock,MARKDOWN / CLEAR,0.0,87824.54
SKU00035,70.8557297692104,594.0,298.0,113.0,Home Care,215.32,130.18,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,68102.92
SKU00036,330.2294066488586,134.0,85.0,25.0,Home Care,188.79,145.16,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00037,66.0161977428903,334.0,143.0,61.0,Beverages,109.86,86.73,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,23242.24
SKU00038,94.41187872136332,18.0,49.0,24.0,Personal Care,377.52,240.69,0.6296522595556393,0.0,High stockout,REORDER NOW,11175.71,0.0
SKU00039,76.940218608349,290.0,179.0,56.0,Snacks & Confectionery,124.83,79.49,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,16936.12
SKU00040,94.71231494211341,101.0,84.0,35.0,Dairy & Bakery,206.7,118.43,0.0,0.06569358458929103,Healthy,HEALTHY,0.0,744.65
SKU00041,70.51765402788712,123.0,115.0,46.0,Electronics & Accessories,2490.74,1754.57,0.0,0.7338376333156603,High overstock,MARKDOWN / CLEAR,0.0,92083.95
SKU00042,61.77087915216298,0.0,0.0,0.0,Health & Wellness,1110.09,617.92,1.0,0.0,High stockout,REORDER NOW,17142.81,0.0
SKU00043,156.7484161524686,107.0,68.0,26.0,Health & Wellness,615.37,414.79,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00044,65.62854282415005,316.0,135.0,50.0,Personal Care,525.77,309.26,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,77429.88
SKU00045,62.49652712754361,90.0,109.0,40.0,Stationery & Office,352.71,253.27,0.0,0.4331492463707657,Healthy,HEALTHY,0.0,6965.8
SKU00046,75.68522102897359,324.0,244.0,97.0,Beverages,154.0,120.46,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,29912.0
SKU00047,72.99998225092278,291.0,160.0,67.0,Personal Care,289.44,165.62,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,36105.16
SKU00048,147.21529892702566,332.0,173.0,82.0,Beverages,111.68,83.14,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,15363.0
SKU00049,93.68586756178365,50.0,35.0,7.0,Personal Care,584.25,442.65,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00050,462.49261215707406,48.0,664.0,209.0,Stationery & Office,34.08,20.25,0.8525903347105928,0.0,High stockout,REORDER NOW,9427.32,0.0
SKU00051,62.584867266356866,123.0,71.0,24.0,Personal Care,336.75,262.89,0.0,0.9501495454974259,High overstock,MARKDOWN / CLEAR,0.0,15882.53
SKU00052,64.22595912658421,5399.0,1299.0,466.0,Home & Kitchen,1372.15,967.68,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,5162354.14
SKU00053,73.4895412194222,60.0,27.0,9.0,Home Care,322.02,220.18,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00054,74.67587664627354,0.0,0.0,0.0,Electronics & Accessories,2079.97,1493.11,1.0,0.0,High stockout,REORDER NOW,38830.9,0.0
SKU00055,172.5377262757291,0.0,0.0,0.0,Home Care,409.38,254.65,1.0,0.0,High stockout,REORDER NOW,17658.37,0.0
SKU00056,89.65210600124327,113.0,189.0,59.0,Dairy & Bakery,79.8,44.4,0.0,0.25755489892795785,Healthy,HEALTHY,0.0,1036.65
SKU00057,71.80585970383923,30.0,31.0,15.0,Apparel & Footwear,2287.08,1510.65,0.11638569748248062,0.0,Healthy,HEALTHY,6750.24,0.0
SKU00058,63.05810545134504,149.0,93.0,29.0,Stationery & Office,95.03,69.93,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,6009.92
SKU00059,73.17288619262224,601.0,233.0,53.0,Dairy & Bakery,122.45,95.47,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,50391.65
SKU00060,154.51092943693922,253.0,148.0,49.0,Apparel & Footwear,724.16,476.15,0.0,0.6333257149170264,High overstock,MARKDOWN / CLEAR,0.0,46895.57
SKU00061,64.08779371645518,296.0,177.0,68.0,Dairy & Bakery,249.85,153.89,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,35688.97
SKU00062,644.9936147840629,272.0,967.0,323.0,Electronics & Accessories,499.45,291.09,0.4394623497403721,0.0,Healthy,HEALTHY,106007.47,0.0
SKU00063,92.04396994577542,84.0,82.0,39.0,Apparel & Footwear,1612.54,1264.03,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00064,62.29976082616447,409.0,269.0,81.0,Home Care,214.86,130.58,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,45272.12
SKU00065,74.10547704517234,215.0,76.0,33.0,Electronics & Accessories,964.12,749.86,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,105651.17
SKU00066,61.677309302443874,4837.0,1048.0,384.0,Dairy & Bakery,222.25,132.45,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,632491.49
SKU00067,65.51774816452861,204.0,140.0,55.0,Grocery,492.46,273.09,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,37818.12
SKU00068,118.13896278412106,8.0,99.0,39.0,Beverages,266.94,161.78,0.8849495961310643,0.0,High stockout,REORDER NOW,16159.14,0.0
SKU00069,62.45548061572585,403.0,255.0,72.0,Home Care,258.89,174.28,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,59350.1
SKU00070,65.95482029218321,378.0,193.0,67.0,Home & Kitchen,738.95,470.84,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,146923.35
SKU00071,68.48127834735182,285.0,142.0,42.0,Beverages,273.19,212.25,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,45956.1
SKU00072,66.8042622159104,0.0,0.0,0.0,Home Care,327.25,224.58,1.0,0.0,High stockout,REORDER NOW,5465.42,0.0
SKU00073,61.04702836368058,126.0,60.0,22.0,Electronics & Accessories,1216.02,704.61,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,45766.51
SKU00074,96.5329975763919,88.0,74.0,22.0,Snacks & Confectionery,197.5,139.5,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00075,67.23038378299938,5552.0,1274.0,465.0,Electronics & Accessories,3697.58,2393.21,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,13126205.49
SKU00076,185.0790211317499,153.0,138.0,42.0,Dairy & Bakery,306.25,220.42,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00077,95.66833381622487,206.0,195.0,56.0,Apparel & Footwear,1562.82,1166.71,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,128725.06
SKU00078,63.6230622590058,69.0,30.0,14.0,Frozen Foods,820.53,653.46,0.0,0.08320462622838455,Healthy,HEALTHY,0.0,3513.61
SKU00079,6332.734626760068,138.0,806.0,274.0,Frozen Foods,197.9,137.37,0.9257339286656845,0.0,High stockout,REORDER NOW,340226.45,0.0
SKU00080,68.17205684446853,1.0,43.0,16.0,Snacks & Confectionery,85.23,54.69,0.9706253978041275,0.0,High stockout,REORDER NOW,2731.03,0.0
SKU00081,61.863726279714875,276.0,117.0,55.0,Home Care,115.69,76.17,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,16310.76
SKU00082,87.44637479405775,175.0,113.0,45.0,Home & Kitchen,480.16,312.42,0.0,0.9899063179220832,High overstock,MARKDOWN / CLEAR,0.0,27353.5
SKU00083,61.16600099761045,208.0,116.0,46.0,Grocery,333.54,221.02,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,32453.25
SKU00084,66.23472247965846,39.0,108.0,33.0,Apparel & Footwear,1308.64,729.59,0.22861911106441635,0.0,Healthy,HEALTHY,13817.51,0.0
SKU00085,88.28630103867758,308.0,167.0,51.0,Home Care,372.68,228.02,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,50099.12
SKU00086,84.42523072070429,230.0,224.0,100.0,Electronics & Accessories,2786.01,2220.28,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,323216.75
SKU00087,110.84385052715292,28.0,77.0,27.0,Health & Wellness,231.1,180.72,0.4974059201765898,0.0,Healthy,HEALTHY,6172.9,0.0
SKU00088,106.67790073988203,0.0,0.0,0.0,Home Care,148.62,83.54,1.0,0.0,High stockout,REORDER NOW,3963.62,0.0
SKU00089,113.60529068372021,0.0,0.0,0.0,Dairy & Bakery,316.27,251.4,1.0,0.0,High stockout,REORDER NOW,8982.49,0.0
SKU00090,63.21890811377516,7868.0,1737.0,598.0,Health & Wellness,618.63,462.73,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,3611506.35
SKU00091,63.088455078526444,260.0,137.0,47.0,Beverages,223.64,123.16,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,24251.63
SKU00092,330.1731642555509,137.0,115.0,34.0,Health & Wellness,809.88,630.38,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00093,68.88575841247041,276.0,158.0,49.0,Beverages,216.52,171.07,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,35431.03
SKU00094,62.56439972926793,88.0,73.0,24.0,Health & Wellness,1069.07,756.04,0.0,0.4001548095957298,Healthy,HEALTHY,0.0,19230.33
SKU00095,69.45227753140713,98.0,77.0,25.0,Health & Wellness,696.82,520.58,0.0,0.4052065237474614,Healthy,HEALTHY,0.0,14861.37
SKU00096,218.1126263813094,127.0,76.0,24.0,Beverages,210.25,133.12,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00097,83.58272646160295,377.0,172.0,63.0,Apparel & Footwear,1103.71,764.96,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,224452.48
SKU00098,69.62020148781413,224.0,83.0,20.0,Personal Care,306.0,224.26,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,34621.21
SKU00099,69.02135850249998,18.0,77.0,34.0,Apparel & Footwear,1671.99,1154.2,0.655537594263895,0.0,High stockout,REORDER NOW,55602.6,0.0
SKU00100,63.72648874452358,177.0,116.0,55.0,Grocery,465.53,291.49,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,33018.1
SKU00101,67.70735646010576,0.0,0.0,0.0,Snacks & Confectionery,122.57,87.31,1.0,0.0,High stockout,REORDER NOW,2074.72,0.0
SKU00102,255.29449439745233,131.0,130.0,57.0,Home Care,111.77,84.9,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00103,114.26289224099618,294.0,176.0,51.0,Snacks & Confectionery,179.7,136.39,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,24514.34
SKU00104,88.79703087591122,299.0,137.0,54.0,Dairy & Bakery,389.89,227.32,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,47783.34
SKU00105,61.50943245412598,296.0,124.0,26.0,Health & Wellness,503.0,332.66,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,78005.63
SKU00106,147.6968630242899,436.0,327.0,136.0,Beverages,200.8,112.38,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,32399.51
SKU00107,69.1739280669359,278.0,240.0,88.0,Electronics & Accessories,2511.78,1778.82,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,371463.99
SKU00108,74.42146620493176,277.0,192.0,67.0,Beverages,82.07,50.11,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,10151.21
SKU00109,71.69742112091377,0.0,0.0,0.0,Snacks & Confectionery,102.67,80.35,1.0,0.0,High stockout,REORDER NOW,1840.29,0.0
SKU00110,69.54972058792404,134.0,83.0,25.0,Health & Wellness,286.87,202.12,0.0,0.9135440774957212,High overstock,MARKDOWN / CLEAR,0.0,13026.69
SKU00111,95.46451636674435,442.0,191.0,71.0,Apparel & Footwear,2316.85,1506.31,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,521989.86
SKU00112,61.954074309920244,377.0,194.0,49.0,Snacks & Confectionery,218.89,160.42,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,50539.67
SKU00113,86.22026772462644,230.0,145.0,53.0,Dairy & Bakery,136.55,82.18,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,11815.82
SKU00114,68.59454597720284,96.0,123.0,37.0,Stationery & Office,169.83,97.29,0.0,0.39378738143897646,Healthy,HEALTHY,0.0,2666.28
SKU00115,81.52121894659835,336.0,250.0,71.0,Stationery & Office,45.82,26.2,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,6667.34
SKU00116,138.54227752280687,10.0,41.0,11.0,Frozen Foods,317.12,220.62,0.7855713968373226,0.0,High stockout,REORDER NOW,11300.75,0.0
SKU00117,87.49281926616979,278.0,191.0,74.0,Home Care,258.96,199.97,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,38095.72
SKU00118,62.482581197219915,351.0,159.0,53.0,Personal Care,289.69,175.46,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,50623.27
SKU00119,193.05503043547327,5.0,22.0,11.0,Health & Wellness,963.94,713.33,0.9170313933549971,0.0,High stockout,REORDER NOW,52307.01,0.0
SKU00120,68.69775027744045,252.0,180.0,49.0,Health & Wellness,492.32,275.41,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,50483.27
SKU00121,89.52203022989647,0.0,0.0,0.0,Dairy & Bakery,195.28,124.65,1.0,0.0,High stockout,REORDER NOW,4370.47,0.0
SKU00122,62.45326505683778,98.0,160.0,46.0,Grocery,159.98,114.13,0.0,0.5602034018473518,High overstock,MARKDOWN / CLEAR,0.0,4056.95
SKU00123,87.71785979353757,231.0,128.0,54.0,Beverages,99.13,75.0,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,10746.16
SKU00124,69.84831784893213,15.0,27.0,13.0,Stationery & Office,345.68,271.63,0.5232355821233639,0.0,High stockout,REORDER NOW,5344.93,0.0
SKU00125,163.5237956086662,186.0,98.0,31.0,Home Care,477.75,338.32,0.0,0.13661369960607614,Healthy,HEALTHY,0.0,7604.15
SKU00126,207.13827916894695,140.0,143.0,47.0,Home Care,253.44,168.71,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00127,61.65632793765184,4986.0,1188.0,404.0,Home Care,223.69,126.42,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,622535.53
SKU00128,68.42044453725383,124.0,53.0,25.0,Apparel & Footwear,741.97,459.21,0.0,0.8006222926578916,High overstock,MARKDOWN / CLEAR,0.0,25522.69
SKU00129,134.6146186585066,83.0,47.0,17.0,Grocery,217.18,169.57,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00130,61.40771379388311,225.0,123.0,49.0,Grocery,362.18,251.98,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,41221.98
SKU00131,193.00491962202796,261.0,140.0,57.0,Dairy & Bakery,119.24,75.8,0.0,0.3504812172312132,Healthy,HEALTHY,0.0,5154.03
SKU00132,82.5583543512261,0.0,0.0,0.0,Home Care,459.06,281.04,1.0,0.0,High stockout,REORDER NOW,9474.81,0.0
SKU00133,98.13922729117802,365.0,133.0,52.0,Electronics & Accessories,1722.93,996.57,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,265945.44
SKU00134,61.33148721979491,209.0,184.0,63.0,Home Care,199.86,147.48,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,21778.15
SKU00135,71.82518173176518,218.0,265.0,111.0,Home Care,191.52,125.08,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,18283.55
SKU00136,61.61413090625611,112.0,57.0,26.0,Stationery & Office,497.37,390.01,0.0,0.8047044391493674,High overstock,MARKDOWN / CLEAR,0.0,19650.99
SKU00137,61.456780308784914,156.0,68.0,20.0,Beverages,145.43,96.51,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,9124.37
SKU00138,80.94817678447949,495.0,315.0,106.0,Frozen Foods,668.4,504.37,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,208835.32
SKU00139,65.07155817007411,0.0,0.0,0.0,Frozen Foods,790.82,460.7,1.0,0.0,High stockout,REORDER NOW,12864.97,0.0
SKU00140,61.492338978585906,112.0,63.0,18.0,Home Care,148.11,87.05,0.0,0.8082216451959244,High overstock,MARKDOWN / CLEAR,0.0,4396.69
SKU00141,64.80426275942929,133.0,120.0,40.0,Apparel & Footwear,2602.93,1609.4,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,109754.22
SKU00142,84.07038005912884,179.0,178.0,46.0,Dairy & Bakery,135.03,80.72,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,7662.72
SKU00143,88.40761753303309,79.0,44.0,17.0,Stationery & Office,64.0,50.83,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00144,62.870230480476714,165.0,95.0,32.0,Dairy & Bakery,186.78,140.47,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,14346.17
SKU00145,64.55143750398275,86.0,57.0,20.0,Frozen Foods,478.26,304.7,0.0,0.32720201589345893,Healthy,HEALTHY,0.0,6535.38
SKU00146,177.127818448014,381.0,230.0,56.0,Frozen Foods,703.46,478.32,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,97516.14
SKU00147,70.31772364209446,14.0,43.0,17.0,Home & Kitchen,778.79,532.16,0.6065142234790746,0.0,High stockout,REORDER NOW,16027.05,0.0
SKU00148,66.87518427909684,0.0,0.0,0.0,Home Care,357.28,250.74,1.0,0.0,High stockout,REORDER NOW,5973.29,0.0
SKU00149,115.79079333160088,87.0,40.0,9.0,Dairy & Bakery,149.69,86.21,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00150,66.3565775015963,4618.0,971.0,330.0,Grocery,266.14,169.6,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,771958.72
SKU00151,91.16617190200738,261.0,89.0,22.0,Personal Care,201.86,115.36,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,19592.03
SKU00152,86.31462746707376,0.0,0.0,0.0,Apparel & Footwear,1830.31,1427.21,1.0,0.0,High stockout,REORDER NOW,39495.63,0.0
SKU00153,68.87096421738866,174.0,103.0,32.0,Grocery,184.25,119.92,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,12607.07
SKU00154,68.33351304474974,46.0,41.0,12.0,Home & Kitchen,2279.38,1667.95,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00155,62.187124586732075,7407.0,1674.0,608.0,Frozen Foods,585.78,457.03,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,3356799.83
SKU00156,61.75581103395258,171.0,159.0,36.0,Beverages,164.3,103.08,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,11260.89
SKU00157,68.84764896883874,321.0,208.0,68.0,Dairy & Bakery,118.76,67.93,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,17128.71
SKU00158,177.282302340535,0.0,0.0,0.0,Frozen Foods,487.98,309.41,1.0,0.0,High stockout,REORDER NOW,21627.55,0.0
SKU00159,69.35390385038792,400.0,165.0,44.0,Dairy & Bakery,230.93,165.75,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,54804.59
SKU00160,68.55053369932435,76.0,46.0,14.0,Beverages,202.06,136.38,0.0,0.10710868636724812,Healthy,HEALTHY,0.0,1015.96
SKU00161,61.592001281905624,52.0,27.0,10.0,Health & Wellness,501.77,285.38,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00162,63.868279770011966,84.0,57.0,20.0,Electronics & Accessories,2780.26,1577.93,0.0,0.31034768150726805,Healthy,HEALTHY,0.0,31766.45
SKU00163,315.49684249555287,179.0,60.0,23.0,Beverages,151.67,109.94,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00164,88.87867775795007,0.0,0.0,0.0,Dairy & Bakery,113.99,83.68,1.0,0.0,High stockout,REORDER NOW,2532.82,0.0
SKU00165,80.42648762214962,0.0,0.0,0.0,Snacks & Confectionery,85.81,49.54,1.0,0.0,High stockout,REORDER NOW,1725.35,0.0
SKU00166,390.2573316817645,167.0,90.0,39.0,Health & Wellness,830.77,621.98,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00167,62.06803306249354,6662.0,1563.0,578.0,Electronics & Accessories,2596.95,1652.67,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,10907509.56
SKU00168,114.09807953159253,52.0,93.0,27.0,Electronics & Accessories,2234.32,1266.98,0.0800452598672502,0.0,Healthy,HEALTHY,7874.91,0.0
SKU00169,826.5746536001661,0.0,667.0,234.0,Stationery & Office,95.37,60.41,1.0,0.0,High stockout,REORDER NOW,42024.19,0.0
SKU00170,61.59122792990078,7177.0,1634.0,561.0,Apparel & Footwear,1241.29,909.39,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,6470681.58
SKU00171,121.68142491483158,113.0,97.0,47.0,Dairy & Bakery,253.93,181.29,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00172,89.82929561720853,0.0,0.0,0.0,Beverages,112.18,75.2,1.0,0.0,High stockout,REORDER NOW,2519.26,0.0
SKU00173,64.05402921374166,84.0,32.0,9.0,Health & Wellness,1096.68,679.85,0.0,0.30660623219391714,Healthy,HEALTHY,0.0,13560.27
SKU00174,63.16074064888935,0.0,0.0,0.0,Home & Kitchen,638.72,418.03,1.0,0.0,High stockout,REORDER NOW,10085.51,0.0
SKU00175,89.4806028626925,25.0,95.0,22.0,Stationery & Office,182.36,117.7,0.4489769241307866,0.0,Healthy,HEALTHY,3532.34,0.0
SKU00176,62.583204892404645,0.0,0.0,0.0,Snacks & Confectionery,45.08,29.19,1.0,0.0,High stockout,REORDER NOW,705.31,0.0
SKU00177,489.47007013587216,54.0,734.0,280.0,Snacks & Confectionery,114.65,77.09,0.8661270487764237,0.0,High stockout,REORDER NOW,39940.34,0.0
SKU00178,129.82403825783706,265.0,120.0,52.0,Grocery,527.32,350.05,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,47318.35
SKU00179,83.45588293003138,237.0,169.0,44.0,Beverages,85.36,49.13,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,7543.62
SKU00180,157.37275280366953,81.0,31.0,10.0,Frozen Foods,770.72,479.81,0.0,0.0,Healthy,HEALTHY,0.0,0.0
SKU00181,61.06734640531717,633.0,380.0,108.0,Frozen Foods,314.95,183.39,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,104886.73
